abatter,1,ART-2_3,{preschentsing1=abatt abat}
accurrer,1,ART-4,{preschentsing1=accurr accur}
admetter,1,ART-2_3,{preschentsing1=admett admet}
affittar,1,ART-1,{preschentsing1=affitt affit}
affittar,1,ART-7,{preschentsing1=affittel affit}
bagliaffar,1,ART-1,{preschentsing1=bagliaff bagliaf}
bagliaffar,1,ART-7,{preschentsing1=bagliaffel bagliaf}
ballar,1,ART-1,{preschentsing1=ball bal}
ballar,1,ART-7,{preschentsing1=ballel bal}
barattar,1,ART-1,{preschentsing1=baratt barat}
barattar,1,ART-7,{preschentsing1=barattel barat}
batter,1,ART-2_3,{preschentsing1=batt bat}
biattar,1,ART-1,{preschentsing1=biatt biat}
biattar,1,ART-7,{preschentsing1=biattel biat}
bittar,1,ART-1,{preschentsing1=bitt bit}
bittar,1,ART-7,{preschentsing1=bittel bit}
blastemmar,1,ART-1,{preschentsing1=blastemm blastem}
blastemmar,1,ART-7,{preschentsing1=blastemmel blastem}
buffar,1,ART-1,{preschentsing1=buff buf}
buffar,1,ART-7,{preschentsing1=buffel buf}
bullar,1,ART-1,{preschentsing1=bull bul}
bullar,1,ART-7,{preschentsing1=bullel bul}
charezzar,1,ART-1,{preschentsing1=charezz charez}
charezzar,1,ART-7,{preschentsing1=charezzel charez}
chattar,1,ART-1,{preschentsing1=chatt chat}
chattar,1,ART-7,{preschentsing1=chattel chat}
chiffar,1,ART-1,{preschentsing1=chiff chif}
chiffar,1,ART-7,{preschentsing1=chiffel chif}
chittar,1,ART-1,{preschentsing1=chitt chit}
chittar,1,ART-7,{preschentsing1=chittel chit}
collar,1,ART-1,{preschentsing1=coll col}
collar,1,ART-7,{preschentsing1=collel col}
commetter,1,ART-2_3,{preschentsing1=commett commet}
concurrer,1,ART-4,{preschentsing1=concurr concur}
crappar,1,ART-1,{preschentsing1=crapp crap}
crappar,1,ART-7,{preschentsing1=crappel crap}
cumbatter,1,ART-2_3,{preschentsing1=cumbatt cumbat}
cumprometter,1,ART-2_3,{preschentsing1=cumpromett cumpromet}
currer,1,ART-4,{preschentsing1=curr cur}
cutizzar,1,ART-1,{preschentsing1=cutizz cutiz}
cutizzar,1,ART-7,{preschentsing1=cutizzel cutiz}
debatter,1,ART-2_3,{preschentsing1=debatt debat/debattesch}
discurrer,1,ART-4,{preschentsing1=discurr discur}
dismetter,1,ART-2_3,{preschentsing1=dismett dismet}
distinguer,1,ART-4,{preschentsing1=distingu distinguel}
drizzar,1,ART-1,{preschentsing1=drizz driz}
drizzar,1,ART-7,{preschentsing1=drizzel driz}
emetter,1,ART-2_3,{preschentsing1=emett emet}
empermetter,1,ART-2_3,{preschentsing1=empermett empermet}
encollar,1,ART-1,{preschentsing1=encoll encol}
encollar,1,ART-7,{preschentsing1=encollel encol}
encrappar,1,ART-1,{preschentsing1=encrapp encrap}
encrappar,1,ART-7,{preschentsing1=encrappel encrap}
endrizzar,1,ART-1,{preschentsing1=endrizz endriz}
endrizzar,1,ART-7,{preschentsing1=endrizzel endriz}
enfivlar,1,ART-1,{preschentsing1=enfivl enflivlel}
enfivlar,1,ART-7,{preschentsing1=enfivlel enflivlel}
enguttar,1,ART-1,{preschentsing1=engutt engut}
enguttar,1,ART-7,{preschentsing1=enguttel engut}
enserrar,1,ART-1,{preschentsing1=enserr enser}
enserrar,1,ART-7,{preschentsing1=enserrel enser}
errar,1,ART-1,{preschentsing1=err er}
errar,1,ART-7,{preschentsing1=errel er}
extinguer,1,ART-4,{preschentsing1=extingu extinguel}
fittar,1,ART-1,{preschentsing1=fitt fit}
fittar,1,ART-7,{preschentsing1=fittel fit}
flippir,1,ART-4,{preschentsing1=flipp flip}
fullar,1,ART-1,{preschentsing1=full ful}
fullar,1,ART-7,{preschentsing1=fullel ful}
futtar,1,ART-1,{preschentsing1=futt fut}
futtar,1,ART-7,{preschentsing1=futtel fut}
giappar,1,ART-1,{preschentsing1=giapp giap}
giappar,1,ART-7,{preschentsing1=giappel giap}
gizzar,1,ART-1,{preschentsing1=gizz giz}
gizzar,1,ART-7,{preschentsing1=gizzel giz}
grattar,1,ART-1,{preschentsing1=gratt grat}
grattar,1,ART-7,{preschentsing1=grattel grat}
guettar,1,ART-1,{preschentsing1=guett guet}
guettar,1,ART-7,{preschentsing1=guettel guet}
insuflar,1,ART-1,{preschentsing1=insufl insurlel}
insuflar,1,ART-7,{preschentsing1=insuflel insurlel}
lappar,1,ART-1,{preschentsing1=lapp lap}
lappar,1,ART-7,{preschentsing1=lappel lap}
manizzar,1,ART-1,{preschentsing1=manizz maniz}
manizzar,1,ART-7,{preschentsing1=manizzel maniz}
mazzar,1,ART-1,{preschentsing1=mazz maz}
mazzar,1,ART-7,{preschentsing1=mazzel maz}
metter,1,ART-2_3,{preschentsing1=mett met}
nizzar,1,ART-1,{preschentsing1=nizz niz}
nizzar,1,ART-7,{preschentsing1=nizzel niz}
offrir,1,ART-4,{preschentsing1=offr offrel/offresch}
ometter,1,ART-2_3,{preschentsing1=omett omet}
paffar,1,ART-1,{preschentsing1=paff paf}
paffar,1,ART-7,{preschentsing1=paffel paf}
penellar,1,ART-1,{preschentsing1=penell penel}
penellar,1,ART-7,{preschentsing1=penellel penel}
pennar,1,ART-1,{preschentsing1=penn pen}
pennar,1,ART-7,{preschentsing1=pennel pen}
percurrer,1,ART-4,{preschentsing1=percurr percur}
permetter,1,ART-2_3,{preschentsing1=permett permet}
pervegnir,1,ART-4,{preschentsing2=pervegnas pervegns}
pezzar,1,ART-1,{preschentsing1=pezz pez}
pezzar,1,ART-7,{preschentsing1=pezzel pez}
pizzar,1,ART-1,{preschentsing1=pizz piz}
pizzar,1,ART-7,{preschentsing1=pizzel piz}
premetter,1,ART-2_3,{preschentsing1=premett premet}
proseguir,1,ART-4,{preschentsing1=prosegu proseguel}
raffar,1,ART-1,{preschentsing1=raff raf}
raffar,1,ART-7,{preschentsing1=raffel raf}
razzar,1,ART-1,{preschentsing1=razz raz}
razzar,1,ART-7,{preschentsing1=razzel raz}
readmetter,1,ART-2_3,{preschentsing1=readmett readmet}
reaffittar,1,ART-1,{preschentsing1=reaffitt reaffit}
reaffittar,1,ART-7,{preschentsing1=reaffittel reaffit}
rebatter,1,ART-2_3,{preschentsing1=rebatt rebat}
recurrer,1,ART-4,{preschentsing1=recurr recur}
redrizzar,1,ART-1,{preschentsing1=redrizz redriz}
redrizzar,1,ART-7,{preschentsing1=redrizzel redriz}
remetter,1,ART-2_3,{preschentsing1=remett remet}
remplazzar,1,ART-1,{preschentsing1=remplazz remplaz}
remplazzar,1,ART-7,{preschentsing1=remplazzel remplaz}
resclerir,1,ART-4,{conjunctivplural1=resclerian reclerian/-sclereschian}
ruppar,1,ART-1,{preschentsing1=rupp rup}
ruppar,1,ART-7,{preschentsing1=ruppel rup}
s'adattar,1,ART-1,{preschentsing1=adatt adat}
s'adattar,1,ART-7,{preschentsing1=adattel adat}
s'empermetter,1,ART-2_3,{preschentsing1=empermett empermet}
s'endrizzar,1,ART-1,{preschentsing1=endrizz endriz}
s'endrizzar,1,ART-7,{preschentsing1=endrizzel endriz}
s'enfuttar,1,ART-1,{preschentsing1=enfutt enfut}
s'enfuttar,1,ART-7,{preschentsing1=enfuttel enfut}
s'extinguer,1,ART-4,{preschentsing1=extingu extinguel}
s'intermetter,1,ART-2_3,{preschentsing1=intermett intermet}
sa barattar,1,ART-1,{preschentsing1=baratt barat}
sa barattar,1,ART-7,{preschentsing1=barattel barat}
sa baruffar,1,ART-1,{preschentsing1=baruff baruf}
sa baruffar,1,ART-7,{preschentsing1=baruffel baruf}
sa batter,1,ART-2_3,{preschentsing1=batt bat}
sa bittar,1,ART-1,{preschentsing1=bitt bit}
sa bittar,1,ART-7,{preschentsing1=bittel bit}
sa chattar,1,ART-1,{preschentsing1=chatt chat}
sa chattar,1,ART-7,{preschentsing1=chattel chat}
sa crollar,1,ART-1,{preschentsing1=croll crol}
sa crollar,1,ART-7,{preschentsing1=crollel crol}
sa cumprometter,1,ART-2_3,{preschentsing1=cumpromett cumpromet}
sa discurrer,1,ART-4,{preschentsing1=discurr discur}
sa distinguer,1,ART-2_3,{preschentsing1=distingu distinguel}
sa drizzar,1,ART-1,{preschentsing1=drizz driz}
sa drizzar,1,ART-7,{preschentsing1=drizzel driz}
sa fittar,1,ART-1,{preschentsing1=fitt fit}
sa fittar,1,ART-7,{preschentsing1=fittel fit}
sa mazzar,1,ART-1,{preschentsing1=mazz maz}
sa mazzar,1,ART-7,{preschentsing1=mazzel maz}
sa metter,1,ART-2_3,{preschentsing1=mett met}
sa permetter,1,ART-2_3,{preschentsing1=permett permet}
sa remetter,1,ART-2_3,{preschentsing1=remett remet}
sa suttametter,1,ART-2_3,{preschentsing1=suttamett suttamet}
sa zuppar,1,ART-1,{preschentsing1=zupp zup}
sa zuppar,1,ART-7,{preschentsing1=zuppel zup}
sajettar,1,ART-1,{preschentsing1=sajett sajet}
sajettar,1,ART-7,{preschentsing1=sajettel sajet}
sbarbuttar,1,ART-2_3,{preschentsing1=sbarbutt sbarbut}
sbarrar,1,ART-1,{preschentsing1=sbarr sbar}
sbarrar,1,ART-7,{preschentsing1=sbarrel sbar}
sbatter,1,ART-2_3,{preschentsing1=sbatt sbat}
sbittar,1,ART-1,{preschentsing1=sbitt sbit}
sbittar,1,ART-7,{preschentsing1=sbittel sbit}
sbluttar,1,ART-1,{preschentsing1=sblutt sblut}
sbluttar,1,ART-7,{preschentsing1=sbluttel sblut}
sbottar,1,ART-1,{preschentsing1=sbott sbot}
sbottar,1,ART-7,{preschentsing1=sbottel sbot}
sbrajattar,1,ART-1,{preschentsing1=sbrajatt sbrajat}
sbrajattar,1,ART-7,{preschentsing1=sbrajattel sbrajat}
sbrajazzar,1,ART-1,{preschentsing1=sbrajazz sbrajaz}
sbrajazzar,1,ART-7,{preschentsing1=sbrajazzel sbrajaz}
scappar,1,ART-1,{preschentsing1=scapp scap}
scappar,1,ART-7,{preschentsing1=scappel scap}
schlavazzar,1,ART-1,{preschentsing1=schlavazz schlavaz}
schlavazzar,1,ART-7,{preschentsing1=schlavazzel schlavaz}
schluppettar,1,ART-1,{preschentsing1=schluppett schluppet}
schluppettar,1,ART-7,{preschentsing1=schluppettel schluppet}
schnorrar,1,ART-1,{preschentsing1=schnorr schnor}
schnorrar,1,ART-7,{preschentsing1=schnorrel schnor}
schnuffar,1,ART-1,{preschentsing1=schnuff schnuf}
schnuffar,1,ART-7,{preschentsing1=schnuffel schnuf}
scrivlottar,1,ART-1,{preschentsing1=scrivlott scrivlot}
scrivlottar,1,ART-7,{preschentsing1=scrivlottel scrivlot}
scrollar,1,ART-1,{preschentsing1=scroll scrol}
scrollar,1,ART-7,{preschentsing1=scrollel scrol}
scumetter,1,ART-2_3,{preschentsing1=scumett scumet}
scurlattar,1,ART-1,{preschentsing1=scurlatt scurlat}
scurlattar,1,ART-7,{preschentsing1=scurlattel scurlat}
scurrer,1,ART-4,{preschentsing1=scurr scur}
sdrappar,1,ART-1,{preschentsing1=sdrapp sdrap}
sdrappar,1,ART-7,{preschentsing1=sdrappel sdrap}
seguir,1,ART-4,{preschentsing1=segu seguel}
sellar,1,ART-1,{preschentsing1=sell sel}
sellar,1,ART-7,{preschentsing1=sellel sel}
serrar,1,ART-1,{preschentsing1=serr ser}
serrar,1,ART-7,{preschentsing1=serrel ser}
sfarlattar,1,ART-1,{preschentsing1=sfarlatt sfarlat}
sfarlattar,1,ART-7,{preschentsing1=sfarlattel sfarlat}
sfilappar,1,ART-1,{preschentsing1=sfilapp sfilap}
sfilappar,1,ART-7,{preschentsing1=sfilappel sfilap}
sfruttar,1,ART-1,{preschentsing1=sfrutt sfrut}
sfruttar,1,ART-7,{preschentsing1=sfruttel sfrut}
sfullar,1,ART-1,{preschentsing1=sfull sful}
sfullar,1,ART-7,{preschentsing1=sfullel sful}
sgiargiattar,1,ART-1,{preschentsing1=sgiargiatt sgiargiat}
sgiargiattar,1,ART-7,{preschentsing1=sgiargiattel sgiargiat}
